Date,Time,Open,High,Low,Close,Volume,Jurik Moving Average_13_78_2_True_True_True_True_JMA,Jurik Moving Average_13_78_2_True_True_True_True_HeartbeatLong,Jurik Moving Average_13_78_2_True_True_True_True_HeartbeatShort,EMA_9_EMA,EMA_21_EMA
2025-08-17,21:21:00,23862.00,23862.75,23862.00,23862.25,11.00,23863.02,1.00,0.00,23862.00,23861.02
2025-08-17,21:22:00,23862.50,23862.75,23862.25,23862.75,8.00,23862.89,1.00,0.00,23862.15,23861.18
2025-08-17,21:23:00,23863.50,23864.50,23863.50,23864.25,25.00,23863.11,0.00,-1.00,23862.57,23861.46
2025-08-17,21:24:00,23864.50,23865.50,23863.75,23864.25,53.00,23863.50,0.00,-1.00,23862.90,23861.71
2025-08-17,21:25:00,23864.25,23865.75,23864.25,23864.50,16.00,23863.93,0.00,-1.00,23863.22,23861.97
2025-08-17,21:26:00,23864.75,23873.75,23863.50,23870.50,541.00,23865.34,0.00,-1.00,23864.68,23862.74
2025-08-17,21:27:00,23870.75,23872.75,23870.75,23872.75,82.00,23867.54,0.00,-1.00,23866.29,23863.65
2025-08-17,21:28:00,23872.75,23873.00,23871.25,23872.00,56.00,23869.65,0.00,-1.00,23867.43,23864.41
2025-08-17,21:29:00,23871.50,23873.00,23871.50,23872.50,25.00,23871.36,0.00,-1.00,23868.45,23865.15
2025-08-17,21:30:00,23872.00,23873.00,23870.75,23871.25,70.00,23872.34,0.00,0.00,23869.01,23865.70
2025-08-17,21:31:00,23871.75,23871.75,23870.00,23870.25,135.00,23872.56,0.00,0.00,23869.26,23866.11
2025-08-17,21:32:00,23870.25,23871.50,23870.00,23871.50,32.00,23872.56,1.00,0.00,23869.71,23866.60
2025-08-17,21:33:00,23871.75,23872.75,23871.25,23872.50,37.00,23872.66,0.00,0.00,23870.26,23867.14
2025-08-17,21:34:00,23871.75,23872.25,23871.50,23872.00,15.00,23872.73,0.00,0.00,23870.61,23867.58
2025-08-17,21:35:00,23871.75,23874.50,23871.75,23873.75,54.00,23873.04,0.00,-1.00,23871.24,23868.14
2025-08-17,21:36:00,23873.50,23874.50,23872.00,23874.50,42.00,23873.58,0.00,-1.00,23871.89,23868.72
2025-08-17,21:37:00,23874.00,23874.00,23872.50,23873.25,21.00,23873.92,0.00,0.00,23872.16,23869.13
2025-08-17,21:38:00,23873.75,23874.25,23873.25,23874.25,30.00,23874.21,0.00,-1.00,23872.58,23869.60
2025-08-17,21:39:00,23874.50,23875.00,23873.25,23874.25,51.00,23874.45,0.00,0.00,23872.91,23870.02
2025-08-17,21:40:00,23874.25,23874.75,23873.25,23874.25,21.00,23874.60,0.00,0.00,23873.18,23870.41
2025-08-17,21:41:00,23874.75,23876.25,23873.25,23874.00,76.00,23874.63,0.00,0.00,23873.35,23870.73
2025-08-17,21:42:00,23874.00,23875.75,23874.00,23875.75,16.00,23874.89,0.00,-1.00,23873.83,23871.19
2025-08-17,21:43:00,23875.00,23876.50,23874.50,23875.25,32.00,23875.17,0.00,-1.00,23874.11,23871.56
2025-08-17,21:44:00,23874.75,23874.75,23873.00,23873.25,30.00,23875.03,1.00,0.00,23873.94,23871.71
2025-08-17,21:45:00,23873.25,23875.00,23873.25,23874.75,17.00,23874.91,1.00,0.00,23874.10,23871.99
2025-08-17,21:46:00,23874.50,23875.50,23874.00,23874.75,31.00,23874.85,1.00,0.00,23874.23,23872.24
2025-08-17,21:47:00,23875.00,23875.75,23874.25,23875.75,19.00,23875.02,0.00,-1.00,23874.53,23872.56
2025-08-17,21:48:00,23876.25,23876.50,23875.25,23876.50,18.00,23875.41,0.00,-1.00,23874.93,23872.92
2025-08-17,21:49:00,23876.50,23877.50,23875.50,23876.00,33.00,23875.78,0.00,-1.00,23875.14,23873.20
2025-08-17,21:50:00,23876.25,23877.50,23876.25,23876.50,36.00,23876.12,0.00,-1.00,23875.41,23873.50
2025-08-17,21:51:00,23877.50,23879.25,23875.75,23877.00,100.00,23876.49,0.00,-1.00,23875.73,23873.82
2025-08-17,21:52:00,23877.00,23878.25,23876.75,23877.75,34.00,23876.94,0.00,-1.00,23876.13,23874.17
2025-08-17,21:53:00,23877.50,23879.00,23876.75,23877.50,42.00,23877.33,0.00,-1.00,23876.41,23874.48
2025-08-17,21:54:00,23878.00,23879.25,23878.00,23878.25,23.00,23877.73,0.00,-1.00,23876.78,23874.82
2025-08-17,21:55:00,23878.50,23879.25,23877.25,23879.00,45.00,23878.21,0.00,-1.00,23877.22,23875.20
2025-08-17,21:56:00,23879.25,23879.25,23877.25,23878.50,57.00,23878.58,0.00,0.00,23877.48,23875.50
2025-08-17,21:57:00,23878.75,23880.00,23878.50,23878.75,56.00,23878.84,0.00,0.00,23877.73,23875.79
2025-08-17,21:58:00,23878.25,23878.25,23876.50,23877.75,48.00,23878.83,1.00,0.00,23877.74,23875.97
2025-08-17,21:59:00,23878.00,23879.50,23878.00,23879.00,56.00,23878.87,0.00,-1.00,23877.99,23876.25
2025-08-17,22:00:00,23879.50,23881.50,23879.25,23881.50,65.00,23879.40,0.00,-1.00,23878.69,23876.72
2025-08-17,22:01:00,23881.00,23881.75,23878.25,23880.25,88.00,23879.93,0.00,-1.00,23879.00,23877.05
2025-08-17,22:02:00,23880.75,23881.75,23878.50,23879.00,44.00,23880.09,0.00,0.00,23879.00,23877.22
2025-08-17,22:03:00,23878.75,23880.50,23878.50,23879.00,35.00,23879.99,1.00,0.00,23879.00,23877.38
2025-08-17,22:04:00,23878.75,23878.75,23876.00,23877.00,54.00,23879.43,1.00,0.00,23878.60,23877.35
2025-08-17,22:05:00,23877.25,23879.25,23877.25,23878.25,24.00,23878.90,1.00,0.00,23878.53,23877.43
2025-08-17,22:06:00,23878.00,23878.25,23877.00,23877.50,18.00,23878.40,1.00,0.00,23878.32,23877.44
2025-08-17,22:07:00,23877.50,23877.50,23875.50,23875.50,34.00,23877.64,1.00,0.00,23877.76,23877.26
2025-08-17,22:08:00,23876.25,23876.50,23875.50,23876.00,21.00,23876.90,1.00,0.00,23877.41,23877.15
2025-08-17,22:09:00,23875.75,23879.25,23875.25,23878.25,46.00,23876.72,0.00,0.00,23877.58,23877.25
2025-08-17,22:10:00,23878.00,23878.75,23877.00,23877.50,16.00,23876.80,0.00,-1.00,23877.56,23877.27
2025-08-17,22:11:00,23877.25,23879.00,23877.25,23878.50,29.00,23877.12,0.00,-1.00,23877.75,23877.38
2025-08-17,22:12:00,23878.75,23878.75,23876.25,23877.00,17.00,23877.28,0.00,0.00,23877.60,23877.35
2025-08-17,22:13:00,23877.00,23878.75,23877.00,23878.50,31.00,23877.53,0.00,-1.00,23877.78,23877.45
2025-08-17,22:14:00,23878.25,23878.25,23877.25,23877.50,17.00,23877.66,0.00,0.00,23877.72,23877.46
2025-08-17,22:15:00,23878.50,23878.75,23877.25,23878.75,20.00,23877.90,0.00,-1.00,23877.93,23877.57
2025-08-17,22:16:00,23879.00,23879.75,23878.75,23879.75,14.00,23878.36,0.00,-1.00,23878.29,23877.77
2025-08-17,22:17:00,23879.75,23880.00,23879.25,23879.25,6.00,23878.80,0.00,-1.00,23878.48,23877.91
2025-08-17,22:18:00,23879.00,23879.25,23877.25,23878.75,19.00,23879.03,0.00,0.00,23878.54,23877.98
2025-08-17,22:19:00,23879.25,23879.25,23878.00,23878.50,6.00,23879.06,0.00,0.00,23878.53,23878.03
2025-08-17,22:20:00,23878.50,23879.75,23877.25,23877.25,16.00,23878.76,1.00,0.00,23878.27,23877.96
2025-08-17,22:21:00,23877.50,23877.75,23877.25,23877.75,6.00,23878.41,1.00,0.00,23878.17,23877.94
2025-08-17,22:22:00,23877.00,23877.00,23875.00,23875.00,27.00,23877.63,1.00,0.00,23877.54,23877.67
2025-08-17,22:23:00,23875.50,23875.75,23871.75,23871.75,95.00,23876.14,1.00,0.00,23876.38,23877.13
2025-08-17,22:24:00,23871.75,23871.75,23870.00,23871.00,148.00,23874.35,1.00,0.00,23875.30,23876.58
2025-08-17,22:25:00,23871.00,23871.00,23867.75,23869.75,230.00,23872.51,1.00,0.00,23874.19,23875.96
2025-08-17,22:26:00,23869.75,23871.50,23868.75,23871.50,64.00,23871.27,0.00,0.00,23873.65,23875.55
2025-08-17,22:27:00,23871.25,23872.50,23870.50,23872.50,30.00,23870.79,0.00,0.00,23873.42,23875.27
2025-08-17,22:28:00,23873.00,23877.50,23873.00,23877.50,96.00,23871.67,0.00,-1.00,23874.24,23875.48
2025-08-17,22:29:00,23877.25,23878.00,23875.75,23876.25,46.00,23872.99,0.00,-1.00,23874.64,23875.55
2025-08-17,22:30:00,23875.25,23875.50,23874.50,23874.75,13.00,23873.97,0.00,-1.00,23874.66,23875.47
2025-08-17,22:31:00,23874.00,23875.00,23873.75,23874.00,25.00,23874.41,0.00,0.00,23874.53,23875.34
2025-08-17,22:32:00,23874.00,23875.00,23874.00,23874.00,10.00,23874.50,0.00,0.00,23874.42,23875.22
2025-08-17,22:33:00,23874.00,23875.00,23874.00,23874.50,5.00,23874.51,0.00,0.00,23874.44,23875.15
2025-08-17,22:34:00,23874.00,23875.00,23873.75,23874.00,16.00,23874.42,1.00,0.00,23874.35,23875.05
2025-08-17,22:35:00,23873.50,23876.50,23873.50,23875.75,18.00,23874.60,0.00,-1.00,23874.63,23875.11
2025-08-17,22:36:00,23876.50,23877.50,23875.25,23875.25,32.00,23874.84,0.00,-1.00,23874.75,23875.12
2025-08-17,22:37:00,23875.75,23876.75,23875.75,23876.75,8.00,23875.32,0.00,-1.00,23875.15,23875.27
2025-08-17,22:38:00,23876.25,23876.25,23875.25,23875.75,5.00,23875.69,0.00,-1.00,23875.27,23875.32
2025-08-17,22:39:00,23876.00,23878.00,23876.00,23878.00,20.00,23876.30,0.00,-1.00,23875.82,23875.56
2025-08-17,22:40:00,23877.75,23877.75,23875.50,23876.50,19.00,23876.71,0.00,0.00,23875.95,23875.65
2025-08-17,22:41:00,23876.75,23879.00,23876.75,23877.50,23.00,23877.08,0.00,-1.00,23876.26,23875.81
2025-08-17,22:42:00,23878.00,23878.00,23874.00,23874.50,29.00,23876.86,1.00,0.00,23875.91,23875.69
2025-08-17,22:43:00,23874.00,23875.75,23873.75,23875.75,32.00,23876.52,1.00,0.00,23875.88,23875.70
2025-08-17,22:44:00,23876.00,23877.25,23874.25,23875.00,72.00,23876.09,1.00,0.00,23875.70,23875.64
2025-08-17,22:45:00,23875.75,23876.25,23875.50,23875.50,9.00,23875.77,1.00,0.00,23875.66,23875.62
2025-08-17,22:46:00,23875.25,23877.25,23875.25,23877.25,12.00,23875.88,0.00,-1.00,23875.98,23875.77
2025-08-17,22:47:00,23877.25,23877.25,23876.50,23877.00,10.00,23876.18,0.00,-1.00,23876.18,23875.88
2025-08-17,22:48:00,23876.50,23876.75,23876.50,23876.75,2.00,23876.46,0.00,-1.00,23876.30,23875.96
2025-08-17,22:49:00,23876.50,23877.25,23876.25,23876.50,11.00,23876.63,0.00,0.00,23876.34,23876.01
